"officer_id","n_stops"
"J051",624
"J053",238
"J055",324
"J060",648
"K000",6
"K001",189
"K002",227
"K003",208
"K004",12
"K005",112
"K006",35
"K007",9
"K008",169
"K010",423
"K011",120
"K012",525
"K014",1169
"K015",717
"K016",1082
"K017",824
"K018",150
"K019",678
"K020",457
"K021",501
"K022",522
"K023",340
"K024",443
"K025",795
"K026",428
"K027",95
"K028",1409
"K029",1008
"K030",460
"K031",691
"K032",236
"K035",677
"K036",393
"K037",286
"K038",2
"K039",90
"K040",927
"K041",370
"K042",625
"K043",633
"K044",917
"K045",374
"K046",492
"K047",1435
"K048",1082
"K049",155
"K050",663
"K052",154
"K053",28
"K054",17
"K055",3
"K057",546
"K059",1
"K060",20
"K061",11
"K062",1
"K063",5
"K064",8
"K065",9
"K066",4
"K067",29
"K068",3
"K069",18
"K071",1
"K072",28
"K073",7
"K074",14
"K075",8
"K076",16
"K077",15
"K078",2
"K079",16
"K080",14
"K081",6
"K082",10
"K083",4
"K084",21
"K086",4
"K087",3
"K088",8
"K089",4
"K091",13
"K092",17
"K093",19
"K094",25
"K096",10
"K099",2
"K109",2
"K118",2
"K126",1
"K147",1
"K358",1
"K385",7
"K386",2
"K451",1
"K507",3
"K901",2
"K985",1
"M000",96
"M001",3
"M002",230
"M003",1852
"M004",479
"M005",180
"M006",51
"M008",89
"M009",1537
"M010",703
"M012",3
"M013",191
"M014",532
"M015",506
"M016",592
"M017",258
"M018",641
"M019",453
"M020",958
"M022",133
"M023",851
"M024",505
"M025",1030
"M026",634
"M028",350
"M029",529
"M030",630
"M031",1602
"M032",401
"M033",303
"M034",145
"M035",1
"M036",105
"M037",169
"M038",2
"M039",1
"M040",1
"M041",359
"M042",175
"M045",808
"M046",1080
"M048",291
"M049",332
"M114",1
"M125",1
"M138",2
"M300",1
"M341",1
"M356",1
"M465",1
"N000",3
"N001",2
"N003",2
"N004",1
"N005",2
"N006",4
"N007",3
"N008",1
"N009",6
"N010",7
"N011",2
"N013",1
"N014",6
"N015",4
"N016",4
"N018",5
"N019",1
"N020",2
"N024",1
"N025",1
"N030",2
"N031",5
"N037",3
"N045",1
"N047",3
"N049",4
"R000",2
"R001",5
"R003",83
"R004",5
"R005",83
"R006",4
"R007",5
"R008",34
"R009",14
"R010",2
"R011",6
"R012",46
"R013",20
"R014",56
"R015",57
"R016",14
"R017",264
"R018",26
"R019",445
"R020",11
"R021",490
"R022",24
"R023",50
"R024",14
"R025",131
"R026",6
"R027",175
"R028",20
"R029",2
"R030",57
"R031",39
"R032",73
"R033",5
"R034",109
"R035",51
"R036",2
"R037",314
